Tweet Datetime,text,location
2021-10-13 13:22:20,"Libur Maulid 1443H digeser Pemerintah(Juni 2021),saat pandemi covid-19 menuju puncak. Skrg Pemerintah membanggakn sbg yg terbaik seAsiaTenggara atasi covid-19, PON digelar, PTM dimulai,Turis Asing boleh masuk. Agar adil;penggeseran libur Maulid direvisi.Tapi prokes tetap ditaati. https://t.co/TQ50gkLU46",Jakarta Capital Region
2021-10-17 23:59:57,hari ini ptm/daring?,"❝ 기다렸어 어서 와
어디든 𝘄𝗲'𝗿𝗲 𝗰𝗼𝗺𝗶𝗻𝗴 𝘁𝗼𝗴𝗲𝘁𝗵𝗲𝗿 👫
아무 걱정 하지 마
잘 될 거야 𝗵𝗲𝗹𝗹𝗼 𝗳𝘂𝘁𝘂𝗿𝗲 🌻❞"
2021-10-17 23:59:56,@airiYAY Semangat ptm nya dik https://t.co/di5S9bAD1i,Ic : kradebii
2021-10-17 23:59:56,"@raystudyei moorrningg, aku jg PTM huhu. MANGAAT PTMNYAA SOB😎💗",she/her 
2021-10-17 23:59:53,@alan0cx gaenakk gue ptm ajg,
2021-10-17 23:59:46,"Tl ku sepi bngett, kebanyakan dh pada ptm kali yaa",she/her
2021-10-17 23:59:36,@yanmwrx gue juga ptm:((,
2021-10-17 23:59:32,MALES BNGT HARI INI PTM CUGS,Harry's heart
2021-10-17 23:59:30,"Ptm lagi huft antara bahagia ma engga, bahagia krna ga offline lgi tpi sedih krna ga bisa rebahan hiks",𝙀𝙭𝙤𝙥𝙡𝙖𝙣𝙚𝙩
2021-10-17 23:59:29,dikelas gue kan ada yg udh ptm yak… ada yg nntn mv fever🧍🏻‍♀️🧍🏻‍♀️ tp gue gatau itu siapa,engene only^selective
2021-10-17 23:59:25,Moots kalian daring or ptm??,bxb shipper dni
2021-10-17 23:59:20,Gini gk enak nya PTM tapi beda sesi sama tmn deket,"jaeyong, markhyuck⑅"
2021-10-17 23:59:10,"@onyourshfa ptm, dapet uang saku",lc
2021-10-17 23:59:08,mau tau ga gua ga ikut ptm alesannya apa?,"harshword , nsfw"
2021-10-17 23:59:07,@onyourshfa ptm si klo aku,(SHE / HER)4TEEN🌷
2021-10-17 23:59:06,"@laevicorpus morning ghee, aku rabu ptm nya",odss
2021-10-17 23:58:57,"Gue kira ptm ini berangkat pake baju SMP, taunya pada pake baju SMA w belum beli seragam nya lagi😭",
2021-10-17 23:58:56,@02uwonn__ morn too fay.. gw lagi ptm males bgt asli 😩,"nah I'm mulfand
gsh unfoll bs."
2021-10-17 23:58:56,Yuhuuu ptm check~,EXO PLANET🪐
2021-10-17 23:58:50,"Morning. Yg PJJ semangat natap layar nya, yg PTM semangat juga","jaeyong, markhyuck⑅"
2021-10-17 23:58:47,hufft kok tmnku pada gaikut ptm,she/her | 
2021-10-17 23:58:43,@soulmatechilde MUTTT PTM JUGA?,any pronouns
2021-10-17 23:58:41,@lxnamu online tp udh ptm juga tiap 2 minggu sekali pas jumatnya,read my carrd byf 
2021-10-17 23:58:41,"@onyourshfa Hai Sha jangan lupa sarapannya ya🍱🥢 .    .  , ditambah lagi semangat untuk hari ini kamu yang lagi ptm atau PJJ💗, have a nice and happy day🤩","𝘀he/𝗵𝘦𝗋 !! .  . 1OO% love bachelors🖇️ ㅤㅤㅤㅤㅤㅤ팬, 사랑 케이팝 세계 🛒૮₍ nctzen＆wayzennie ₎ა  "
2021-10-17 23:58:39,kaya plis udh cukup hari gw buruk dari kemarin ini tambah ptm jingggg worst,🌱 fan-sbt acc
2021-10-17 23:58:39,@raystudyei aku jg ptm!! semangat caaa,
2021-10-17 23:58:34,AAA AKU SEKARANG PTM,vminkook: my honey boys 🍯
2021-10-17 23:58:28,Udah pada sarapan? Kalo belum jangan lupa sarapan. Semangat yang lagi PTM.,he/they. nsfw
2021-10-17 23:58:23,"@narerayy mandiii, semangat ptm nya!",
2021-10-17 23:58:10,@soulmatechilde Ptm ni,she/her | 17 | e/isfp
2021-10-17 23:58:10,"jumat gue ptm, tapi cuman sekali UDAH GT LANGSUNG SEHARI 8 MAPEL https://t.co/Bz3Gb6hKxd",
2021-10-17 23:58:08,"Ayo hujan yang deres biar banjir terus listrik sekolah mati terus wifi sama lcd sama kameranya mati terus gabisa pjj maupun ptm, dan akhirnya jamkos. Aamiin",she/her
2021-10-17 23:58:02,"morning, hari prtma ptm biasalah gua telat lgii :)

btw, ayo mutualan my?",
2021-10-17 23:57:57,Masih menunggu tweet kesan pertama ptm,
2021-10-17 23:57:54,"@olivxjin daring minggu depan bru ptm lgi, u too beb","r , j , s , h , j , j , v"
2021-10-17 23:57:51,"bestie, sy PTM https://t.co/tSifmxRuRb",devildom
2021-10-17 23:57:50,aku mau ptm anjir deg degan ☹️,fa/pa
2021-10-17 23:57:47,"@byjaehaa_ morningg, ku juga ptm brok 😔",﹫𝒏𝒄𝒕_𝒍𝒐𝒗𝒆.𝒘𝒆𝒃⇢$/her
2021-10-17 23:57:43,"@Loeyaddict92 Pagii, Semangat PTM 🤩",red cotton wife 
2021-10-17 23:57:39,"semangat sobat ptm

jgn lupa sarapan n minum air putih",15 | (she/they)
2021-10-17 23:57:31,@ljndrakasep moooorrnnb samaa aku juga gak ptm,she/her
2021-10-17 23:57:28,"@heyyyywonuuu Pagi jugaa, aku ptm nihh😔",
2021-10-17 23:57:28,njir gue ptm takut bgt bro,05l
2021-10-17 23:57:27,"yap ptm, fighting 💪🏻 https://t.co/DASdbtPOFb",SHE/HER • 🇮🇩 × 🇸🇦 × 🇰🇷
2021-10-17 23:57:25,"@convomf kayaknya sih rabu, alhamdulillah deh kalo rabu biar gue gak ptm ketemu fisika kimia😭",she/her
2021-10-17 23:57:23,adaa yang ptm kah?,billingual — she/they
2021-10-17 23:57:18,Aku baru PTM gais🤣 https://t.co/Q2RApyZF4W,Dimana mana hatiku senang
2021-10-17 23:57:18,"@convomf Gapapa nder semangat. Aku pertama kali ptm lama bener dari jam set 8 pulang jam 3 udh kyk org fullday, pulang2 pegel semua badannya 😭",she/her 04l
2021-10-17 23:57:17,"@bbkeeyz Morning, PTM ni🤩",
2021-10-17 23:57:14,jd gini PTM 😥 https://t.co/ZAAg1ZmA7u,#JIMIN 너의 행복 나의 행복 
2021-10-17 23:57:01,bisa kebetulan banget tiap ptm tuh pastu lg pms 🥺 males bgt kaya bnr bnr RUINED,🌱 fan-sbt acc
2021-10-17 23:56:58,ya Allah ptm,??!% ★☆ . . . 🎨  THINKING ABOUT YANG JUNGWON . . . CHOI BEOMGYU 🍭💭 私は彼についてたくさん考えてきました... 24/7 in my mind!! no homophobic pls🐈‍⬛🐈
2021-10-17 23:56:45,"wml, ptm hari ini! 🤭🌟",𝗯𝗹𝗮𝗰𝗸𝗽𝗶𝗻𝗸 𝗲𝗻𝘁. 
2021-10-17 23:56:43,"ini gue mulesnya double anjir, mau ptm sama ngambil rapot https://t.co/4wheldQuEW",priv acc 
2021-10-17 23:56:41,"morningg gais, gua ga ptm awoakwkwowkwk","harshword , nsfw"
2021-10-17 23:56:37,@xweetiewoo hari ini ptm ga han?,12-1=0
2021-10-17 23:56:37,"xixixi ternyata aku hari PTM gais, tapi aku nya ga tau. Ku pikir aku lain hari jadi ga ikut PTM dehh xixixi",di rumah
2021-10-17 23:56:31,@jjhyunprince hah? aku sekarang ptm???,5th & 10th floor ghost ilichil
2021-10-17 23:56:26,eh jangan dulu deh kalau dah ptm w nanti sama siapa? gada temen😭,chaaji coty
2021-10-17 23:56:23,"pagii bestie, kalian ptm ga hari ini?",
2021-10-17 23:56:19,"udah pertemuan ketiga ptm kayak 
""biasa aja anjir gada special nya""
aliasss dah maleeesssssss",
2021-10-17 23:56:17,"@AGhaniyya Masya Allah..

Pemimpin2 kita skrg sebagian besar adalah produk pendidikan jaman Presiden Suharto. Kurang apa lagi indoktrinasi beliau ttg bahaya laten PKI, &amp; PEDOMAN PENGAMALAN &amp; PENGHAYATAN PANCASILA. Tapi nyatanya apa?

Lha, bgmn jdny skrg..klo PTM &amp; pengajian terhalang wabah?",
2021-10-17 23:56:15,@ccrcyy ih.. hng itu ptm gue,nyenyo's gf
2021-10-17 23:56:12,@convomf ptm doang,She / Her
2021-10-17 23:56:10,sdkt bersemangat menjalani ptm https://t.co/U3hXEJNRpZ,
2021-10-17 23:56:08,"akhirnya aku ptm aaaa senangnya, tp vibe nya kurang krna gapake seragam😔😔","neo city, exo-planet."
2021-10-17 23:55:57,"kok orang orang udah pada ptm ya, skolah ku kapan?",chaaji coty
2021-10-17 23:55:44,"Nggak jadi PTM berarti sekarang saat nya apa? Ya, betul, kembali ceurik",— 𝘊𝘺𝘣𝘦𝘳 𝘈𝘤𝘤𝘰𝘶𝘯𝘵 
2021-10-17 23:55:42,woy km ptm gak,rant
2021-10-17 23:55:32,ptm ptm tai anjing. udah ptm tapi tugasnya masih segunung.,jeno
2021-10-17 23:55:27,@keirjshjjv Daring/ptm? Semangatt for today ayangie🤩,# seokjin . . ・゜゜・ 📎🐹 . . 🤍
2021-10-17 23:55:25,Wahh ptm,dirty world
2021-10-17 23:55:21,@arschnyy Daring/ptm? Semangatt for today ayangie🤩,# seokjin . . ・゜゜・ 📎🐹 . . 🤍
2021-10-17 23:55:17,"lagi ptm, tapi blom mulai. gas lah baca au bentar 😍",Safe place for everyone!
2021-10-17 23:55:17,@Naywupinay EH LU NGEWISH KE MOOTS LO KN LAHHHH KIRAIN LO YG PTM,she / they 
2021-10-17 23:55:14,@Vkthna Daring/ptm? Semangatt for today ayangie🤩,# seokjin . . ・゜゜・ 📎🐹 . . 🤍
2021-10-17 23:55:05,@sasastudy00 semangaat ptm nya,saintek'24 
2021-10-17 23:54:46,"Kenapa ya, kan hari ini jadwal gue pjj bukan ptm tapi rasanya gak tenang gitu, kayak gak yakin, ""sebenernya hari ini gue masuk gak sih??"" pdhl udah liat jadwal bolak-balik ya emang pjj😭",neverland
2021-10-17 23:54:41,"@viowxyz Iyaa nih dah mulai ptm, semangat juga ka vioo💜",
2021-10-17 23:54:39,"@AvalonLafleur Aku ptm mar, trus td datengnya kepagian masi sepi jd gitu hehe",
2021-10-17 23:54:38,"@jaemshio hari ini daring apa ptm? semangat ya! jangan lupa sarapan, have a nice day",she/her
